date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2020-08-31,80,96,96,60,67,48,97,71,29100,37320,8220,6750,19830,2520,469,78,960,19140,2020-08-30T22:38:55.000+01:00,2020-08-31T09:00:55.000+01:00,74.51,68,17,-0.4,0.01,17.375,90,77,95,78,100,98,172,2320,3668,2927,29520,47220,9360,300,0,0,1.1875,1,71,73,None,95,None,89,74,None,41
2020-09-01,75,82,84,29,88,48,89,100,26310,30180,3870,5580,19260,1470,448,87,1140,15180,2020-08-31T22:30:30.000+01:00,2020-09-01T06:53:30.000+01:00,74.79,69,17,-0.32,0.01,17.375,82,55,100,60,96,96,179,2449,3652,2623,42360,31500,12480,60,0,0,1.28125,0,80,72,None,93,None,92,78,None,83
2020-09-02,80,91,90,15,95,54,97,100,27420,30420,3000,5550,21240,630,385,90,810,15090,2020-09-01T22:25:22.000+01:00,2020-09-02T06:52:22.000+01:00,72.79,68,16,-0.06,0.02,17,72,48,95,43,71,81,239,2579,5060,3542,46020,21060,14160,600,0,4560,1.375,1,86,78,90,86,99,100,86,None,71
2020-09-03,66,53,60,73,99,76,89,41,19260,20520,1260,4020,11640,3600,256,94,630,10080,2020-09-03T02:08:16.000+01:00,2020-09-03T07:50:16.000+01:00,70.78,68,28,-0.32,None,17.625,69,58,95,43,71,57,311,2620,6601,5549,40140,29400,16320,540,0,0,1.375,1,77,57,71,85,88,96,85,None,87
2020-09-04,57,55,53,20,74,48,81,73,19650,24240,4590,3540,15060,1050,390,81,480,11160,2020-09-04T00:46:56.000+01:00,2020-09-04T07:30:56.000+01:00,69.39,64,25,-0.59,-0.15,17,77,65,100,43,71,98,1289,3666,6963,23139,30540,26160,15420,14040,0,240,1.9375,0,73,44,62,85,82,88,100,None,81
2020-09-05,58,67,93,1,74,40,48,67,22680,27840,5160,6150,16470,60,492,81,2010,15060,2020-09-04T23:54:02.000+01:00,2020-09-05T07:38:02.000+01:00,76.17,71,13,0.04,-0.05,16.75,67,48,95,25,40,97,214,2503,4463,3389,45000,27900,13260,240,0,0,1.3125,1,59,45,61,73,28,100,59,None,90
2020-09-06,75,86,87,23,81,56,78,99,27300,32580,5280,5760,20340,1200,394,84,420,16770,2020-09-05T22:22:10.000+01:00,2020-09-06T07:25:10.000+01:00,75.68,68,16,-0.26,None,17.25,75,71,100,43,40,96,317,2593,6431,5343,34800,33480,17520,600,0,0,1.34375,0,68,70,69,83,51,97,81,None,46
2020-09-07,71,70,54,44,88,59,89,97,23370,27000,3630,3630,17520,2220,289,87,1140,13350,2020-09-06T23:22:29.000+01:00,2020-09-07T06:52:29.000+01:00,73.47,67,18,0.37,0.27,17.375,74,58,78,43,71,97,418,2733,9199,7013,40920,29160,13200,3060,60,0,1.4375,2,72,64,66,90,52,78,95,82,51
2020-09-08,79,86,92,44,95,57,70,100,27150,30120,2970,6120,18810,2220,402,90,210,15330,2020-09-07T22:42:32.000+01:00,2020-09-08T07:04:32.000+01:00,70.48,62,19,-0.61,0.06,17,85,69,100,60,96,98,668,2966,10681,10640,35820,26220,12600,2280,1920,7560,1.5625,0,74,76,73,81,53,87,94,83,39
2020-09-09,56,44,34,29,74,51,91,100,17100,21180,4080,2340,13290,1470,285,81,1050,11640,2020-09-08T23:10:33.000+01:00,2020-09-09T05:03:33.000+01:00,70.98,65,19,0.08,0.06,17,77,45,60,60,96,96,230,2568,4664,3065,47460,22500,16080,360,0,0,1.34375,3,64,40,63,61,52,99,89,83,52
2020-09-10,76,81,95,26,86,52,91,100,26070,30420,4350,6300,18390,1380,420,86,690,15330,2020-09-09T22:28:32.000+01:00,2020-09-10T06:55:32.000+01:00,72.07,68,17,-0.25,0.01,17,88,72,78,78,100,98,821,3138,15352,13533,35220,30540,14280,4440,1920,0,1.65625,2,76,71,67,83,70,97,75,80,100
2020-09-11,81,91,89,61,93,47,81,100,28380,31740,3360,5910,19440,3030,473,89,450,15960,2020-09-10T22:12:31.000+01:00,2020-09-11T07:01:31.000+01:00,72.05,67,21,-0.16,0.05,17.375,79,45,78,60,96,97,270,2570,6064,4310,46800,27900,9900,1800,0,0,1.34375,2,76,79,72,54,55,100,84,85,100
2020-09-12,67,68,89,6,86,52,81,96,22980,26700,3720,5880,16830,270,344,86,480,13650,2020-09-11T23:18:04.000+01:00,2020-09-12T06:43:04.000+01:00,76.83,70,16,0.02,0.07,17.75,91,85,95,78,100,98,813,3162,17713,15185,26280,31020,25020,4080,0,0,1.65625,1,69,56,69,82,72,100,61,80,71
2020-09-13,72,90,60,18,83,61,78,73,28230,33240,5010,4020,23280,930,418,85,420,17490,2020-09-12T23:00:06.000+01:00,2020-09-13T08:14:06.000+01:00,74.45,65,17,-0.1,0.08,17,88,60,100,78,100,98,509,2788,11191,9075,40080,28380,13680,4200,60,0,1.46875,0,75,64,76,85,57,100,100,81,53
2020-09-14,54,49,49,19,93,57,67,53,17400,19620,2220,3060,13530,810,260,89,180,10140,2020-09-14T01:43:38.000+01:00,2020-09-14T07:10:38.000+01:00,75.26,69,19,0.46,0.28,17.875,91,70,78,95,100,98,431,2695,9385,7653,36960,27480,10740,3420,0,7800,1.40625,2,63,37,65,81,64,67,69,83,41
2020-09-15,77,86,93,43,83,51,81,95,26130,30600,4470,5670,18660,1800,414,85,450,16590,2020-09-14T22:31:35.000+01:00,2020-09-15T07:01:35.000+01:00,66.15,60,22,-0.17,0.23,15.875,89,54,78,95,100,98,467,2759,9181,7894,45900,26880,9960,3180,480,0,1.4375,2,78,73,68,86,67,99,86,86,85
2020-09-16,70,79,85,18,83,54,59,98,24480,28680,4200,5220,18480,780,369,85,1800,14700,2020-09-15T22:58:59.000+01:00,2020-09-16T06:56:59.000+01:00,77.26,68,17,0.32,0.29,17.5,95,67,100,100,100,97,465,2774,10462,8241,37440,29820,16200,2940,0,0,1.4375,0,67,62,69,72,68,79,77,85,23
2020-09-17,85,96,96,79,95,46,72,100,28710,32100,3390,6720,18780,3210,527,89,300,15870,2020-09-16T22:04:07.000+01:00,2020-09-17T06:59:07.000+01:00,66.99,62,23,0.17,0.3,16.75,90,42,95,100,100,98,620,2969,10610,10048,48840,19380,13920,2940,1320,0,1.5625,1,85,85,75,86,69,91,99,87,100
2020-09-18,59,58,73,22,76,43,78,72,19590,23820,4230,4500,14130,960,373,82,1380,12240,2020-09-18T00:31:18.000+01:00,2020-09-18T07:08:18.000+01:00,71.03,65,18,-0.11,0.24,16.625,91,48,95,100,100,97,158,2433,3128,2424,46560,29460,10200,180,0,0,1.28125,1,67,44,68,56,68,100,100,87,32
2020-09-19,78,80,75,68,95,52,89,100,24570,27300,2730,4620,17160,2790,415,90,660,13410,2020-09-18T22:45:10.000+01:00,2020-09-19T06:20:10.000+01:00,73.63,69,25,-0.27,0.03,18,97,83,100,100,100,97,675,2942,15478,12680,29520,34020,19020,3840,0,0,1.53125,0,77,74,69,86,78,96,67,90,82
2020-09-20,87,100,100,79,97,52,67,94,36480,39780,3300,9210,24030,3240,516,92,150,20130,2020-09-19T21:35:54.000+01:00,2020-09-20T08:38:54.000+01:00,75.87,68,13,0.71,0.3,16.875,97,83,95,100,100,97,539,2778,12348,10028,29940,35640,10980,5400,0,4440,1.4375,1,76,88,85,87,71,46,84,85,82
2020-09-21,70,74,94,13,98,57,78,74,23190,25080,1890,5730,16920,540,309,92,390,12630,2020-09-21T00:20:57.000+01:00,2020-09-21T07:18:57.000+01:00,70.07,65,14,0.49,0.58,16.125,90,57,95,95,100,96,203,2481,4127,3153,41880,31800,12480,240,0,0,1.3125,1,77,61,83,90,71,64,100,80,57
2020-09-22,87,95,95,94,98,55,67,100,28470,30600,2130,5880,18750,3840,499,93,150,15540,2020-09-21T22:17:41.000+01:00,2020-09-22T06:47:41.000+01:00,67.58,61,34,-1.08,-0.57,16.75,89,55,78,95,100,96,458,2767,9189,7715,42540,26880,13260,3420,300,0,1.46875,2,81,88,87,89,78,70,87,89,32
2020-09-23,74,83,96,17,99,49,86,81,25410,27180,1770,6480,18240,690,420,93,570,13650,2020-09-22T23:48:02.000+01:00,2020-09-23T07:21:02.000+01:00,75.57,71,15,-0.27,-0.25,17.75,87,56,95,78,100,96,287,2582,5342,4354,42180,29760,13020,1200,240,0,1.34375,1,76,67,87,78,78,96,50,87,82
2020-09-24,78,83,91,52,95,44,91,100,25320,28260,2940,5550,17640,2130,488,90,690,13980,2020-09-23T22:59:13.000+01:00,2020-09-24T06:50:13.000+01:00,67.8,61,26,-0.53,-0.34,16.5,89,69,100,78,100,96,673,3022,13146,11390,37140,26280,18240,4140,600,0,1.59375,0,86,74,86,84,83,87,100,90,77
2020-09-25,80,90,93,26,95,50,97,95,26910,29940,3030,5700,20070,1140,465,90,960,15270,2020-09-24T22:53:14.000+01:00,2020-09-25T07:12:14.000+01:00,69.61,66,20,0.13,-0.02,16.875,90,75,100,78,100,96,339,2620,6137,5385,34320,31080,14100,1440,240,5220,1.375,0,85,77,87,74,78,94,92,90,91
2020-09-26,83,92,88,61,95,46,99,100,27600,30600,3000,5370,19740,2490,483,90,870,14970,2020-09-25T22:41:34.000+01:00,2020-09-26T07:11:34.000+01:00,66.52,61,23,-0.1,0.09,16.75,90,76,100,78,100,97,773,3118,17371,14338,31860,27060,23280,4200,0,0,1.625,0,89,82,89,90,83,100,96,91,89
2020-09-27,69,78,77,49,74,57,83,50,24210,29880,5670,4710,17490,2010,361,81,1260,15090,2020-09-27T00:27:44.000+01:00,2020-09-27T08:45:44.000+01:00,67.04,61,18,0.22,0.26,16.875,86,82,95,60,96,96,394,2670,7905,6670,29880,35820,19620,1020,60,0,1.375,1,80,58,85,82,73,86,92,90,76
2020-09-28,73,87,44,19,93,55,89,99,26340,29580,3240,2730,22770,840,396,89,1110,15180,2020-09-27T22:48:43.000+01:00,2020-09-28T07:01:43.000+01:00,66.08,59,25,0.07,0.26,16.875,80,59,78,60,96,95,271,2550,5469,4551,43680,25800,12600,1080,0,3240,1.34375,2,83,65,86,95,76,99,88,92,79
2020-09-29,80,95,96,25,95,51,72,100,28290,31320,3030,6240,20970,1080,452,90,300,15480,2020-09-28T22:27:37.000+01:00,2020-09-29T07:09:37.000+01:00,68.17,63,21,-0.21,0.16,16.75,73,59,95,43,71,78,236,2516,4930,3883,41700,30360,13680,660,0,0,1.3125,1,86,77,89,86,80,98,100,92,64
2020-09-30,86,96,96,89,95,49,70,100,28680,31800,3120,6600,18420,3660,455,90,240,15660,2020-09-29T22:17:55.000+01:00,2020-09-30T07:07:55.000+01:00,67.92,62,31,-0.01,0.11,17.375,82,53,100,60,96,96,602,2916,11227,9820,42120,26640,13620,2760,1260,0,1.53125,0,90,87,91,89,85,100,98,96,76
2020-10-01,69,66,67,59,98,56,75,76,21540,23100,1560,4140,14940,2460,316,93,360,11160,2020-10-01T00:41:01.000+01:00,2020-10-01T07:06:01.000+01:00,67.71,63,18,-0.24,None,16.75,73,48,95,43,71,89,207,2474,3943,3120,46200,28680,11100,300,120,0,1.3125,1,80,58,84,63,81,97,100,93,66
2020-10-02,66,63,85,17,93,62,78,77,20790,23280,2490,5190,14910,690,271,89,420,11040,2020-10-02T00:40:06.000+01:00,2020-10-02T07:08:06.000+01:00,73.85,69,15,-0.29,-0.03,17.5,84,69,100,60,96,96,531,2843,9768,8610,37440,30720,14280,3240,720,0,1.5,0,74,53,77,85,88,95,52,90,86
2020-10-03,72,75,68,64,86,43,75,100,23430,27300,3870,4170,16620,2640,490,86,360,12990,2020-10-02T22:32:04.000+01:00,2020-10-03T06:07:04.000+01:00,72.61,69,20,-0.21,-0.07,17.375,70,49,60,43,71,95,226,2466,4473,3944,45660,27480,12660,600,0,0,1.3125,3,76,63,73,76,86,98,62,90,91
2020-10-04,87,92,95,96,88,55,86,100,27600,31740,4140,5970,17010,4620,385,87,1200,15750,2020-10-03T22:35:42.000+01:00,2020-10-04T07:24:42.000+01:00,71.91,65,25,0.48,0.22,17.375,77,68,100,43,71,92,341,2594,6270,5932,37200,29280,13680,1320,60,4860,1.375,0,82,88,77,85,90,64,100,91,76
